N/A,"N/A"
You,"لك"
Supplier,"المورد"
"Quote Rejected","اقتباس رفض"
"Quote Approved","اقتباس المعتمدة"
Yes,"نعم"
No,"لا"
Customer,"العملاء"
"View Quotes","عرض أسعار"
"Attachment not found.","المرفقات غير موجودة."
"Invalid request.","طلب غير صالح."
"Logged Out.","تسجيل الخروج."
"Supplier's Message","المورد رسالة"
"Supplier's Responses","المورد الردود"
"Quote Does Not exists.","اقتباس يكن موجودا."
"Quote Request #%1","اقتباس طلب #%1"
"Invalid Request.","طلب غير صالح."
"Quote Information","اقتباس المعلومات"
"My Requested Quotes","طلب أسعار"
"Request For Quote","طلب اقتباس"
"Please select product to quote.","الرجاء اختيار المنتج إلى الاقتباس."
"Request for quote is successfully raised.","طلب اقتباس بنجاح."
"Please login to send message to supplier.","يرجى تسجيل الدخول إلى إرسال رسالة إلى المورد."
"Product doesn't exist.","المنتج غير موجود."
"Out of stock","من المخزون"
"You added %1 to your shopping cart.","إضافة %1 إلى سلة التسوق الخاصة بك."
"We can't add this item to your shopping cart right now.","لا يمكننا إضافة هذا العنصر إلى سلة التسوق الخاصة بك الآن."
"We can't remove the item.","ونحن لا يمكن إزالة هذا البند."
"Something went wrong.","شيء ذهب على نحو خاطئ."
"We can't update the shopping cart.","لا يمكننا تحديث عربة التسوق."
Approved,"وافق"
Rejected,"رفض"
"quote product successfully added to the cart","اقتباس المنتج بنجاح إضافة إلى عربة التسوق"
"Buying Leads","شراء العملاء المتوقعين"
"Supplier Sign Up","مورد الاشتراك"
"Information was successfully saved.","المعلومات تم حفظها بنجاح."
"Twitterid cannot contain space and special characters,"يسمح الخاصة carecters @"
"Facebookid cannot contain space and special characters,"يسمح الخاصة carecters @"
"Instagram ID cannot contain space and special characters,"يسمح الخاصة carecters @"
"Google Plus ID cannot contain space and special characters,"يسمح الخاصة carecters @"
"Youtube ID cannot contain space and special characters,"يسمح الخاصة carecters @"
"Vimeo ID cannot contain space and special characters,"يسمح الخاصة carecters @"
"Pinterest ID cannot contain space and special characters,"يسمح الخاصة carecters @"
"Moleskine ID cannot contain space and special characters,"يسمح الخاصة carecters @"
"Tax/VAT Number cannot contain space and special characters","الضرائب/ضريبة القيمة المضافة عدد لا تحتوي على مساحة أحرف خاصة"
"Invalid Background Color","صالح لون الخلفية"
"Supplier Log In","المورد تسجيل الدخول"
"Customer's Message","العميل رسالة"
"Quick Order","طلب سريع"
"Request a Quote","طلب عرض أسعار"
"View Quote","عرض الاقتباس"
"Send Quote Request","لإرسال طلب أسعار"
"Quote Item does not exists.","اقتباس البند ليس موجودا."
"Quote successfully sent to customer.","اقتباس بنجاح إرسالها إلى العملاء."
"View Quote Request","عرض طلب عرض أسعار"
Quotes,"ونقلت"
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","يجب عليك تأكيد حسابك. يرجى التحقق من بريدك الالكتروني لتأكيد الارتباط أو <a href=%1>اضغط هنا</a> رابط جديد."
"There is already an account with this email address. If you are sure that it is your email address,"<a href=%1>اضغط هنا</a> للحصول على كلمة المرور الخاصة بك و الوصول إلى حسابك."
Settings,"الإعدادات"
"Already logged in.","بالفعل بتسجيل الدخول."
"Email id is already exist.","معرف البريد الإلكتروني هو موجود بالفعل."
Available,"المتاحة"
Verification,"التحقق"
"%1 is required field.","%1 هو حقل مطلوب."
"%1 is already exist.","%1 غير موجودة بالفعل."
"A verification email is sent to %1,"التحقق من البريد الوارد الخاص بك التحقق من البريد الإلكتروني أو %2 إلى إرسال رابط."
"Email Verified","التحقق من البريد الإلكتروني"
"Link expired.","الرابط انتهت صلاحيته."
Hours,"ساعات"
Days,"أيام"
"Add To Cart","إضافة إلى السلة"
New,"جديد"
Pending,"في انتظار"
Processing,"تجهيز"
Answered,"أجاب"
Complete,"كاملة"
Canceled,"إلغاء"
"Sent To Suppliers","إرسالها إلى الموردين"
"There was an error saving quote item attachment.","كان هناك خطأ في حفظ اقتباس البند المرفق."
"There was an error saving quote attachment.","كان هناك خطأ في حفظ الاقتباس المرفق."
"Requested Item : %1,"الكمية: %2"
"There was an error saving quote.","كان هناك خطأ في حفظ الاقتباس."
"Cannot delete quote with id %1","لا يمكن حذف الاقتباس مع معرف %1"
"Sorry,"ولكن الحد الأدنى المسموح به الكمية %1% 2."
"Quote Configuration","اقتباس التكوين"
View,"عرض"
"View Customer","عرض العملاء"
"View Product","عرض المنتج"
Quote(s),"اقتباس(s)"
"View Quote Information","عرض اقتباس المعلومات"
"No Quotes Available","لا يقتبس المتاحة"
"Supplier Name","اسم المورد"
"Quoted Qty","ونقلت الكمية"
"Quoted Price","السعر المعروض"
Thread,"الموضوع"
