"SELLER","SUPPLIER"
"Seller","Supplier"
"seller","supplier"
"FOR BECOME SUPPLIER CONTACT TO ADMIN","FOR BECOME SUPPLIER CONTACT TO ADMIN"
"FOR BECOME SUPPLIER CONTACT TO ADMIN..","FOR BECOME SUPPLIER CONTACT TO ADMIN.."
"Supplier Since","Supplier Since"
"Supplier Account Information","Supplier Account Information"
"Supplier Commission","Supplier Commission"
"Do You Want To Remove This Supplier?","Do You Want To Remove This Supplier?"
"Do You Want To Make This Customer As Supplier?","Do You Want To Make This Customer As Supplier?"
"Supplier Information","Supplier Information"
"Supplier Name","Supplier Name"
"Pay Supplier","Pay Supplier"
"Total Supplier Amount","Total Supplier Amount"
"Supplier","Supplier"
"Supplier Since","Supplier Since"
"Supplier Email","Supplier Email"
"Supplier's Transactions","Supplier's Transactions"
"Suppliers Transactions","Suppliers Transactions"
"Manage Supplier's Product","Manage Supplier's Product"
"Manage Suppliers","Manage Suppliers"
"Manage Supplier's Commission","Manage Supplier's Commission"
"Manage Supplier's Feedback","Manage Supplier's Feedback"
"Manage Supplier's Order","Manage Supplier's Order"
"Payment has been successfully done for this supplier.","Payment has been successfully done for this supplier."
"%s has been successfully denied to become supplier.","%s has been successfully denied to become supplier."
"Supplier has been successfully approved.","Supplier has been successfully approved."
"Supplier has been successfully unapproved.","Supplier has been successfully unapproved."
"%s has been successfully denied to become a supplier.","%s has been successfully denied to become a supplier."
"Your request to become a supplier was successfully send to admin.","Your request to become a supplier was successfully send to admin."
"Supplier Request Panel","Supplier Request Panel"
"The product is already assigned to another supplier.","The product is already assigned to another supplier."
"Products has been successfully unassigned from supplier.","Products has been successfully unassigned from supplier."
"By Supplier","By Supplier"
"What is the reason to deny this supplier?","What is the reason to deny this supplier?"
"Supplier Payment Information ","Supplier Payment Information "
"Supplier Name ","Supplier Name "
"Supplier Email ","Supplier Email "
"Supplier Request Panel","Supplier Request Panel"
"Do you want to become supplier / vendor ?","Do you want to become supplier?"
"Supplier's Information","Supplier's Information"
