"Send Mail To Affiliate","Send Mail To Affiliate"
"Affiliate User","Affiliate User"
"Subject","Subject"
"Message","Message"
"eBay Category","eBay Category"
"All Affiliate User","All Affiliate User"
"Send mail","Send mail"
"Please accept affiliate terms for register as affiliate user.","Please accept affiliate terms for register as affiliate user."
"Update Payment Notify","Update Payment Notify"
"Create Affiliate Customer Account","Create Affiliate Customer Account"
"Statistics Graph","Statistics Graph"
"Payment Record List","Payment Record List"
"Sales Record List","Sales Record List"
"Traffic Record List","Traffic Record List"
"Your e-mail was successfully send","Your e-mail was successfully send"
"Invalid request","Invalid request"
"Send Email To Affiliate User","Send Email To Affiliate User"
"Send Mail To Affiliate User","Send Mail To Affiliate User"
"Affiliate User List","Affiliate User List"
"Approved","Approved"
"A total of %1 users(s) have been approved.","A total of %1 users(s) have been approved."
"A total of %1 users(s) have been unapproved.","A total of %1 users(s) have been unapproved."
"Affiliate Configuration","Affiliate Configuration"
"Marketplace Affiliate list","Marketplace Affiliate list"
"Set Category-wise Commission","Set Category-wise Commission"
"Category Commission is saved.","Category Commission is saved."
"Commission for this category already exist.","Commission for this category already exist."
"Category Commission is not saved.","Category Commission is not saved."
"Total of %1 e-mail(s) have been sent successfully.","Total of %1 e-mail(s) have been sent successfully."
"Send mail to affiliate","Send mail to affiliate"
"Unapproved","Unapproved"
"A total of %1 user(s) have been updated.","A total of %1 user(s) have been updated."
Deleted,Deleted
"A total of %1 users(s) have been removed.","A total of %1 users(s) have been removed."
"Affiliate Payment","Affiliate Payment"
"Transaction detail saved successfully.","Transaction detail saved successfully."
"Your affiliate account has been credited ","Your affiliate account has been credited "
" by "," by "
" in your bank account."," in your bank account."
"Payment credited notification","Payment credited notification"
"Invalid amount or user balance is less than minimum payout.","Invalid amount or user balance is less than minimum payout."
"Affiliate user does not exist.","Affiliate user does not exist."
"Your payment has been declined.","Your payment has been declined."
" in your paypal account"," in your paypal account"
"Your payment has been done successfully.","Your payment has been done successfully."
"Setting has been saved.","Setting has been saved."
"Pay Per Click should contain only decimal numbers.","Pay Per Click should contain only decimal numbers."
"Per Unique Click should contain only decimal numbers.","Per Unique Click should contain only decimal numbers."
"Fixed Commission should contain only decimal numbers.","Fixed Commission should contain only decimal numbers."
"Percent Commision should contain only decimal numbers.","Percent Commision should contain only decimal numbers."
"Minimum Payout should contain only decimal numbers.","Minimum Payout should contain only decimal numbers."
"Payment Day should contain only an integer number.","Payment Day should contain only an integer number."
" Banner is created."," Banner is created."
" Banner is not created."," Banner is not created."
"Affiliate Summary","Affiliate Summary"
"Create Text Banner","Create Text Banner"
" Banner is updated."," Banner is updated."
" Banner is not updated."," Banner is not updated."
"Affiliate User Summary","Affiliate User Summary"
"Banners & Ads","Banners & Ads"
"Successfully applied for affiliate user.","Successfully applied for affiliate user."
"Accept affiliate terms for register as affiliate user.","Accept affiliate terms for register as affiliate user."
"Affiliate Request Panel","Affiliate Request Panel"
"E-mail Campaign","E-mail Campaign"
"Commission","Commission"
"Seller Payment","Seller Payment"
"Payment method saved successfully.","Payment method saved successfully."
"Payment Preference","Payment Preference"
"Request sent to seller","Request sent to seller"
"Affiliate Sales list ","Affiliate Sales list "
"Sent the request to seller.","Sent the request to seller."
"Not Sent the request to seller.","Not Sent the request to seller."
"Statistics","Statistics"
"Successfully blog url updated.","Successfully blog url updated."
"Please enter valid blog url.","Please enter valid blog url."
"Please enter blog url.","Please enter blog url."
"Affiliate Blog Link","Affiliate Blog Link"
"We can't save the customer.","We can't save the customer."
"Traffic","Traffic"
"noreply","noreply"
"Affiliate Manager","Affiliate Manager"
"Please review this order","Please review this order"
" and approve affiliate order status"," and approve affiliate order status"
" Placed by reference of Affiliate User "," Placed by reference of Affiliate User "
"Order No. #","Order No. #"
" has been completed"," has been completed"
" placed with your reference completed and payment added 
                                to your account"," placed with your reference completed and payment added 
                                to your account"
" for your product has been completed and payment added to the 
                                corresponding Affiliate user account"," for your product has been completed and payment added to the 
                                corresponding Affiliate user account"
"Your Affiliate account status updated","Your Affiliate account status updated"
"Your Affiliate account ","Your Affiliate account "
"Your affiliate request updated","Your affiliate request updated"
"Your affiliate request to ","Your affiliate request to "
"You have a Affiliate request","You have a Affiliate request"
"You have a Affiliate request from ","You have a Affiliate request from "
"Check / Money order","Check / Money order"
"Bank Transfer Payment","Bank Transfer Payment"
"PayPal Standard Payment","PayPal Standard Payment"
"Affiliate account created successfully.","Affiliate account created successfully."
"N/A","N/A"
"Not Available","Not Available"
"View","View"
"Traffic Graph Daily","Traffic Graph Daily"
"Traffic Graph Monthly","Traffic Graph Monthly"
"Manage Affiliate","Manage Affiliate"
"Menu","Menu"
"Affiliate Request","Affiliate Request"
"Category Commission","Category Commission"
"Mail to Affiliate","Mail to Affiliate"
"Text Banner","Text Banner"
"Update Text Banner","Update Text Banner"
"Update Banner","Update Banner"
"Save","Save"
"Title","Title"
"Text","Text"
"Link","Link"
"Select the product","Select the product"
"Size","Size"
"∞ (Fluid)","∞ (Fluid)"
"88x31 (Micro Bar)","88x31 (Micro Bar)"
"120x600 (Skyscraper)","120x600 (Skyscraper)"
"120x240 (Vertical Banner)","120x240 (Vertical Banner)"
"160x600 (Wide Skyscraper)","160x600 (Wide Skyscraper)"
"234x60 (Half Banner)","234x60 (Half Banner)"
"300x600 (Half Page Ad)","300x600 (Half Page Ad)"
"468x60 (Full Banner)","468x60 (Full Banner)"
"728x90 (Leaderboard)","728x90 (Leaderboard)"
"Banners :","Banners :"
"Preview","Preview"
"Status","Status"
"Action","Action"
"Approve ","Approve "
"Approve","Approve"
"Delete","Delete"
"Edit","Edit"
"Unapprove","Unapprove"
"Set Commission","Set Commission"
"Select Category","Select Category"
"Commission Type","Commission Type"
"Fixed","Fixed"
"Percent","Percent"
"Commissions :","Commissions :"
"Category Name","Category Name"
"Save setting","Save setting"
